,approach,nn_arch,reward,neurons,weights,num_inputs,num_hidden,nn_arch,num_out,num_contr,formel_n,formel_w
189,TwoSides,"[256, 256] ",3142.08,2048,296466,27,256,"[256, 256] ",8,2,2048,296466
190,TwoSides,"[16, 16] ",3401.02,128,3186,27,16,"[16, 16] ",8,2,128,3186
191,TwoSides,"[32, 32] ",3508.7,256,8402,27,32,"[32, 32] ",8,2,256,8402
192,TwoSides,"[128, 128] ",3334.09,1024,82706,27,128,"[128, 128] ",8,2,1024,82706
193,TwoSides,"[256, 256] ",3064.63,2048,296466,27,256,"[256, 256] ",8,2,2048,296466
194,FullyDecentralized,"[256, 256] ",2715.85,4096,572436,19,256,"[256, 256] ",4,4,4096,572436
195,FullyDecentralized,"[16, 16] ",3435.65,256,5076,19,16,"[16, 16] ",4,4,256,5076
196,FullyDecentralized,"[32, 32] ",2747.57,512,14228,19,32,"[32, 32] ",4,4,512,14228
197,FullyDecentralized,"[128, 128] ",2660.39,2048,155156,19,128,"[128, 128] ",4,4,2048,155156
198,FullyDecentralized,"[256, 256] ",3002.78,4096,572436,19,256,"[256, 256] ",4,4,4096,572436
199,FullyDecentralized,"[16, 16] ",2681.05,256,5076,19,16,"[16, 16] ",4,4,256,5076
200,FullyDecentralized,"[32, 32] ",3186.6,512,14228,19,32,"[32, 32] ",4,4,512,14228
201,FullyDecentralized,"[128, 128] ",2611.81,2048,155156,19,128,"[128, 128] ",4,4,2048,155156
202,Local,"[16, 16] ",3184.73,256,7124,35,16,"[16, 16] ",4,4,256,7124
203,Local,"[32, 32] ",3396.28,512,18324,35,32,"[32, 32] ",4,4,512,18324
204,Local,"[128, 128] ",2991.43,2048,171540,35,128,"[128, 128] ",4,4,2048,171540
205,Local,"[256, 256] ",2993.92,4096,605204,35,256,"[256, 256] ",4,4,4096,605204
206,Local,"[16, 16] ",2856.81,256,7124,35,16,"[16, 16] ",4,4,256,7124
207,Local,"[32, 32] ",3160.1,512,18324,35,32,"[32, 32] ",4,4,512,18324
208,Local,"[128, 128] ",3022.9,2048,171540,35,128,"[128, 128] ",4,4,2048,171540
209,Local,"[256, 256] ",2846.31,4096,605204,35,256,"[256, 256] ",4,4,4096,605204
